Stationsnummer;Name des Projektionssystems;Rechtswert (lokal);Hochwert (lokal);Projektionssystem gültig ab;Höhe;Höhensystem;Name der hydrologischen Einheit;Einzugsgebietsnummer;Einzugsgebietsname
UR1201-ES721;CH1903+ / LV95;2691203.609;1192587.595;01.01.1950 00:00;456;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES722;CH1903+ / LV95;2691268.602;1191834.585;01.01.1950 00:00;456.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES723;CH1903+ / LV95;2690637.619;1194329.616;01.01.1950 00:00;444;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES724;CH1903+ / LV95;2691954.629;1193149.619;01.01.1950 00:00;462;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES725;CH1903+ / LV95;2691288.6;1191565.583;01.01.1950 00:00;453.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES726;CH1903+ / LV95;2691145.605;1192369.591;01.01.1950 00:00;452;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES727;CH1903+ / LV95;2691403.608;1192199.592;01.01.1950 00:00;458.7;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES728;CH1903+ / LV95;2691824.625;1192972.613;01.01.1950 00:00;458.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES729;CH1903+ / LV95;2690270.611;1193754.615;01.01.1950 00:00;437.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES730;CH1903+ / LV95;2691983.621;1192414.606;01.01.1950 00:00;473.6;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES731;CH1903+ / LV95;2691316.602;1191859.585;01.01.1950 00:00;457.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES732;CH1903+ / LV95;2691293.6;1191570.583;01.01.1950 00:00;454.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES733;CH1903+ / LV95;2690918.604;1192401.595;01.01.1950 00:00;447.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES734;CH1903+ / LV95;2692238.624;1192269.608;01.01.1950 00:00;484;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES735;CH1903+ / LV95;2691241.609;1192533.595;01.01.1950 00:00;453;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES736;CH1903+ / LV95;2691159.614;1193060.603;01.01.1950 00:00;444.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES737;CH1903+ / LV95;2691016.604;1192360.593;01.01.1950 00:00;449;Landesnivellementnetz 1902;;104621;Axen
